Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6",0603,3,4.7uF,C19666
"C10, C9",0603,2,6.8pF,C1679
"C11, C12, C5, C7, C8",0603,5,100nF,C14663
"C3, C4",0603,2,1uF,C15849
"D1, D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D110, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",D_SOD-123,110,1N4148W,C81598
D111,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6_C2687116,C2687116
D201,SMA_L4.2-W2.6-LS5.3-RD,1,SS14,C2480
IC1,DFN8_2x3MC_MCH,1,MCP73831-2ACI_MC,C150772
JDBG1,HDR-TH_4P-P2.54-V-M,1,PZ254V-11-04P_C2691448,C2691448
LED1,LED0805-R-RD,1,0805G,C2297
PWR_S1,SW-TH_MSK12C02,1,MSK12C02,C431540
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,CJ2305,C8549
R1,0603,1,1.5k,C22843
"R2, R3",0603,2,5.1k,C23186
R4,0603,1,2k,C22975
R5,0603,1,100k,C25803
"R6, R7",0603,2,200k,C25811
RST_S2,SW-SMD_L3.9-W3.0-P4.45,1,TS-1088-AR02016,C720477
"SW1, SW10, SW100, SW101, SW102, SW103, SW104, SW105, SW106, SW107, SW108, SW109, SW11, SW110, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW68, SW69, SW7, SW70, SW71, SW72, SW73, SW74, SW75, SW76, SW77, SW78, SW79, SW8, SW80, SW81, SW82, SW83, SW84, SW85, SW86, SW87, SW88, SW89, SW9, SW90, SW91, SW92, SW93, SW94, SW95, SW96, SW97, SW98, SW99",SW_Hotswap_Kailh_MX_Plated,108,SW_Push,C41430893
SW59,SW_Hotswap_Kailh_MX_Plated_6.25u,1,SW_Push,C41430893
SW67,SW-SMD_EC11J1525402,1,EC11J1525402,C209762
U1,USB-C-SMD_HANBO_MC-121-L124,1,MC-121-L124,C6332279
U2,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,1,TPS7A0233DBVR,C5142805
U3,E73-2G4M08S1C,1,E73-2G4M08S1C,C356849
U4,CONN-TH_S2B-PH-K-S-LF-SN,1,S2B-PH-K-S,C173752
X1,CRYSTAL-SMD_L3.2-W1.5,1,ABS07-LR-32.768KHZ-6-1-T,C6491652
